TRANSECT STRING,
ARITRI,1
BIDFRO,30
CAMSCI,2
CHEHYG,10
GERMAC,1
GEUCAN,3
OXAEUR,2
POLGVI,2
RHACAT,10
SCRMAR,8
SILSTE,2
SOLALT,5
VITRIP,1
>,
    QUAD,11
ACRONYM,COVER
ARITRI,2
ASTLAT,3
CAROVT,3
CIRLUC,5
CXBLAN,1
FRAVIR,2
GEUCAN,10
HYSPAT,10
LEEVIR,40
POLGVI,5
POTSIS,40
PREALB,5
PRUSER,2
RHACAT,5
SMISTE,5
SPHINT,3
TRIPER,8
>,
    QUAD,12
ACRONYM,COVER
ALLCER,5
ANDGER,25
ARITRI,6
ASTLAT,5
CIRALT,10
CXCEPP,5
CXNORM,5
CXPENS,60
EUPMAM,5
FRAVIR,3
GERMAC,5
HELHIR,60
MONFIS,10
PENDIG,5
PREALB,2
RHACAT,5
RUBFLA,5
RUDSUB,70
SCRMAR,4
SMIECI,5
SOLALT,8
THADAD,20
>,
    QUAD,13
ACRONYM,COVER
ALLCER,10
ARITRI,5
ASTLAT,10
CAMSCI,6
CIRALT,20
CXBLAN,2
CXPENS,15
CXROSE,2
EUPPER,5
EUPRUG,10
FRAVIR,3
GENFLA,3
GEUCAN,2
HELHIR,50
LEEVIR,5
MALSIE,10
MONFIS,8
NEPCAT,6
PENDIG,15
POLGVI,1
POTSIS,3
PREALB,2
RUDSUB,25
SCRMAR,25
SMISTE,2
SOLALT,25
THADAD,5
TRIGRA,1
ZIZAUR,5
>,
    QUAD,14
ACRONYM,COVER
AMPBRB,10
ARITRI,4
ASTLAT,5
ASTMAC,5
BOECYC,5
DIOVIL,30
EUPRUG,10
GEUCAN,2
LEEVIR,10
OXAEUR,3
OXYRIG,10
POLGVI,5
RANREC,2
RUDSUB,8
SANCAD,3
SCRMAR,10
SMIECI,5
SMILAS,3
SOLALT,10
SOLGRN,5
SOLULM,10
THADAD,5
ZIZAUR,15
>,
    QUAD,15
ACRONYM,COVER
ARIDRA,1
ARITRI,10
ASTMAC,8
ASTSHO,5
CINARU,2
CXBLAN,12
EUPMAM,15
EUPPUR,5
LEEVIR,40
POTSIS,10
RANSEP,5
SCRMAR,5
SMIECI,3
SOLULM,10
THADAD,5
>,
    QUAD,16
ACRONYM,COVER
AGANEP,5
CAMSCI,3
CXDAVI,10
CXGRAY,2
CXNORM,8
GEUCAN,3
LEEVIR,95
PLARUG,2
SMIECI,2
SOLULM,10
SPHINT,5
VIOSOR,7
>,
    QUAD,17
ACRONYM,COVER
ANEVIR,5
ARIDRA,2
ARITRI,2
CIRALT,5
CXBLAN,3
EUPPUR,20
EUPRUG,95
HELHEL,35
HELHIR,5
IMPCAP,2
MONFIS,5
OXAEUR,15
SCRMAR,45
SMILAS,6
SMISTE,1
>,
    QUAD,18
ACRONYM,COVER
ALLCAN,5
ARIDRA,5
ASTNOV,5
CRYCAN,4
HELGRO,20
OXYRIG,2
PHLGLI,8
POAPRA,2
PYCVIR,15
RANSEP,5
SCULAT,5
SOLALT,5
SOLGRN,15
SPAPEC,15
THADAD,5
TRAOHI,4
VERFAS,10
VERHAS,10
>,
    QUAD,19
ACRONYM,COVER
AGANEP,5
ALLCAN,4
ANDGER,25
ELYVIR,15
EUPRUG,5
HELHIR,10
OXAEUR,10
PANIMP,6
RUDTRI,8
SCRMAR,8
SMILAS,10
SOLALT,15
TRAOHI,15
>,
    QUAD,20
ACRONYM,COVER
ARIDRA,8
ARITRI,15
BROPUB,5
CINARU,5
ELYVIL,5
EUPPUR,15
FESOBT,5
GEUCAN,2
OSTVIR,2
OXAEUR,3
PRUSER,2
RHACAT,1
SCRMAR,20
SMIECI,2
SOLULM,8
>,
    QUAD,21
ACRONYM,COVER
ARIDRA,1
ARITRI,3
BRAERE,3
BROPUB,2
DENLAC,1
EUPPUR,5
GEUCAN,4
OSTVIR,2
SMISTE,2
SOLULM,25
ZIZAUR,5
>,
    QUAD,22
ACRONYM,COVER
AQUCAN,5
ARITRI,6
ASTLAT,5
CIRALT,10
CXBLAN,10
EUPPUR,10
EUPRUG,8
FESOBT,20
HELHIR,5
OXAEUR,5
PLARUG,1
PRUSER,3
PRUVLA,4
RUDTRI,3
SOLULM,45
TAROFF,2
>,
    QUAD,23
ACRONYM,COVER
ARITRI,15
CIRALT,5
CXBLAN,2
CXPENS,20
HELHIR,20
HYSPAT,8
PENDIG,10
POTSIS,3
RHACAT,10
RUBFLA,10
RUDSUB,25
SMILAS,2
SOLULM,25
TAEINT,1
TAROFF,5
THADAD,6
TRIPER,2
VITRIP,8
>,
    QUAD,24
ACRONYM,COVER
ACTPAC,5
ALLCER,5
ASTSAD,5
CIRALT,5
CIRDIS,20
CORRAC,5
CORTRP,15
CRYCAN,5
CXBLAN,5
ELYVIR,2
EUPRUG,10
FRAVIR,4
GENFLA,4
HELHIR,25
HYPPYR,5
HYSPAT,3
LYCAME,5
MALSIE,10
MORALB,2
PANIMP,1
PANLAT,10
PLARUG,4
RHACAT,2
RUBOCC,5
SOLALT,5
SOLGRN,10
TAROFF,1
THADAD,8
ULMAME,5
VIOPUB,5
VIOSOR,4
>,
    QUAD,25
ACRONYM,COVER
ALLCER,2
ALLTRT,5
ARITRI,1
ASTLAT,5
CIRALT,15
CIRDIS,30
CIRLUC,1
CXBLAN,2
ELYVIR,1
FRAVIR,2
MALSIE,5
MONFIS,5
PANIMP,2
POTSIS,10
PRUVLA,1
RHACAT,25
RUBFLA,5
RUDHIR,3
SOLALT,3
TAROFF,2
THADAD,5
>,
    QUAD,26
ACRONYM,COVER
CIRARV,1
EREHIE,15
FRAAMA,5
PANCAP,2
POAPRA,1
RHACAT,15
SCRMAR,5
