TRANSECT STRING,
OXYRIG,1
PILPUM,2
POTSIS,2
PRUVIR,2
RHAFRA,6
RUBOCC,15
SMISTE,2
TRIPER,40
VIOSOR,1
>,
QUAD,12
ACRONYM,   COVER
ALLPET,1
ASTLAT,2
ASTPIL,8
ASTSAD,2
CXCEPP,5
CXBLAN,1
CIRARV,2
CORRAC,40
GERMAC,2
HELHIR,8
MONFIS,3
OXAEUR,1
PHYVIV,2
PRUVIR,5
RUBFLA,8
RUBOCC,5
RUDSUB,5
SMIECI,1
SOLALT,15
THADAD,10
VIOSOR,1
>,
QUAD,13
ACRONYM,   COVER
ARITRI,4
CORRAC,10
FRAVIR,5
HELHIR,10
MALSIE,2
PARINT,2
POTSIS,1
PREALB,2
RHACAT,2
RUBOCC,2
RUDSUB,20
SMISTE,2
SMIECI,4
SOLALT,80
THADAD,1
TRIPER,10
>,
QUAD,14
ACRONYM,   COVER
ARITRI,1
ASTLAT,10
ASTMAC,2
ASTSAD,3
ASTSHO,3
CINARU,5
CORRAC,4
DIOVIL,1
ELYVIR,2
FESOBT,1
OXYRIG,1
PENDIG,8
PRUVIR,5
RANREC,2
RATPIN,1
RHAFRA,8
SCRMAR,10
SOLALT,5
SOLULM,8
TAROFF,2
THADAD,5
ZIZAUR,2
>,
QUAD,15
ACRONYM,   COVER
ARITRI,2
ASTMAC,8
ASTSHO,5
BROPUB,2
CINARU,15
EUPMAM,40
EUPPUR,5
GEUCAN,2
LOBSIP,8
LONTAT,8
PILPUM,1
POLPER,1
POLPUN,10
POTSIS,5
SOLALT,8
SOLFLE,1
SOLULM,5
ZIZAUR,1
>,
QUAD,16
ACRONYM,   COVER
ALLCAN,4
ARIDRA,2
ASTPIL,1
BIDFRO,2
CXBLAN,15
CARCOR,4
CIRARV,8
CIRVUL,8
EREHIE,1
FRAVIR,1
GEUCAN,1
IMPCAP,2
PILPUM,1
RHACAT,6
>,
QUAD,17
ACRONYM,   COVER
ALLCAN,5
ALLCER,4
ASTSAD,3
BROPUB,1
CXBLAN,10
CIRARV,1
CIRDIS,30
ELYCAN,2
ELYVIR,2
EUPPUR,10
GEUCAN,2
HELGRO,3
HYPPER,6
MONFIS,40
OXAEUR,1
PARINT,4
PENDIG,8
RATPIN,3
RHACAT,4
RUDSUB,6
SILINI,3
SMIRAC,1
SMIECI,2
SOLALT,8
SOLCAE,5
SOLJUN,3
SOLNEM,5
SOLRIG,2
TRIREC,1
VERFAS,5
VIOSOR,1
VITRIP,4
ZIZAUR,5
>,
QUAD,18
ACRONYM,   COVER
ALLCER,3
AMBARE,2
ASTPUP,2
BIDFRO,5
CXGRAN,2
ELECOM,2
GALOBT,1
AGAPUU,1
GLYSTR,1
HELGRO,5
IMPCAP,1
JUNDUD,2
LYCAME,5
OXYRIG,1
PHLGLI,2
POAPAS,4
POAPRA,3
POPDEL,2
PRUVLA,2
PYCVIR,5
RANSEP,5
ROSPAL,1
SENPAU,80
SOLGRN,5
STATEH,2
TRAOHI,5
TRIPRA,3
>,
QUAD,19
ACRONYM,   COVER
CIRLUC,3
FRAVIR,1
FRAPES,1
GEUCAN,5
HYPPER,2
IMPCAP,2
PILPUM,2
POTSIS,2
RHACAT,70
RUBOCC,1
SOLALT,2
>,
QUAD,20
ACRONYM,   COVER
ALLCAN,4
ARITRI,1
CIRLUC,5
CIRDIS,2
EUPPUR,5
FESOBT,1
FRAVIR,2
GEUCAN,6
OXAEUR,1
PILPUM,3
RHACAT,2
RUBFLA,5
SMIECI,2
SOLALT,40
SOLULM,5
>,
QUAD,21
ACRONYM,   COVER
AGRALA,1
ALLCAN,4
ARITRI,1
ASTMAC,5
ASTSHO,8
ERIANS,2
EUPPUR,5
FESOBT,20
HYSPAT,2
OSTVIR,1
QUECOC,1
RATPIN,2
SANCAD,1
SCRMAR,2
SILSTE,2
SMIRAC,2
SMIECI,4
SOLCAE,8
SOLULM,25
THADIO,1
ZIZAUR,5
>,
QUAD,22
ACRONYM,   COVER
ASTSAD,2
CXBLAN,3
CIRLUC,15
CIRARV,1
EUPPUR,4
EUPRUG,3
FRAVIR,2
OXAEUR,3
PARINS,3
RUBFLA,30
SANGRE,3
SCRMAR,30
SMISTE,1
SMIECI,3
SOLALT,5
SOLGRN,4
SOLJUN,25
SOLULM,5
ULMAME,1
>,
QUAD,23
ACRONYM,   COVER
BIDFRO,1
BROPUB,1
CIRLUC,2
CIRARV,2
DAUCAR,1
ELYVIR,1
FESOBT,1
GEUCAN,2
HELHIR,15
HYSPAT,1
MONFIS,5
MUHMEX,1
OXAEUR,1
POACOM,2
PRUVLA,2
RUBFLA,15
RUBOCC,3
RUDSUB,10
RUDTRI,5
SCRMAR,2
SMILAS,2
SOLALT,10
SOLJUN,4
SOLULM,40
SPHINT,2
TAROFF,1
THADAD,5
TRAOHI,4
VITRIP,5
ZIZAUR,2
>,
QUAD,24
ACRONYM,   COVER
AGRGRY,5
ARITRI,5
CIRLUC,2
CIRARV,25
CORRAC,5
EUPPUR,3
GALAPA,2
GENFLA,2
GEULAT,5
HYPPYR,15
MONFIS,25
PRUVIR,20
RHACAT,15
RUBFLA,10
RUBOCC,15
SOLALT,5
SOLGRN,4
VERVIR,2
>,
QUAD,25
ACRONYM,   COVER
CIRLUC,15
CIRVUL,10
FRAVIR,5
GEULAT,8
MONFIS,20
POTSIS,15
RANREC,20
RHACAT,10
RHAFRA,8
SCULAT,5
SOLALT,15
ULMAME,3
VIOSOR,2
>,
QUAD,26
ACRONYM,   COVER
LONTAT,10
PRUVIR,2
SMIRAC,2
