TRANSECT STRING,
QUAD,12
ACRONYM,   COVER
ALLCER,8
ANDGER,25
ARITRI,3
ASTLAT,2
ASTSAD,4
CXCEPP,15
FRAVIR,5
GERMAC,2
HELHIR,5
RUDSUB,5
SOLALT,50
TAROFF,1
THADAD,5
VIOSOR,1
>,
QUAD,13
ACRONYM,   COVER
ALLCER,3
HELHIR,15
LYCAME,4
PARINT,2
PENDIG,10
PREALB,2
RUDSUB,40
SMISTE,2
SMILAS,3
SOLALT,60
THADAD,2
TRIGRA,3
TRIPER,10
ZIZAUR,5
>,
QUAD,14
ACRONYM,   COVER
ARITRI,2
ASTLAT,10
CIRLUC,10
DIOVIL,5
HELHIR,10
OXYRIG,5
PENDIG,5
POTSIS,2
RANREC,3
RATPIN,5
RHAFRA,1
SANCAD,2
SMILAS,2
SOLALT,80
SOLULM,10
TAROFF,2
THADAD,5
ZIZAUR,10
>,
QUAD,15
ACRONYM,   COVER
ASTLAT,5
ASTMAC,2
ASTSAD,8
ASTSHO,5
BROPUB,5
CXBLAN,2
CINARU,1
CIRLUC,1
CIRARV,2
EUPMAM,20
GEUCAN,1
IMPCAP,2
LEEVIR,10
LYCAME,3
OXYRIG,1
POLPUN,1
POTSIS,5
SOLALT,20
SOLULM,15
>,
QUAD,16
ACRONYM,   COVER
BIDFRO,30
CXBLAN,10
CXPENS,30
CXSWAN,1
CINARU,2
CIRARV,5
HACVIR,3
IMPCAP,5
MENCAN,2
POTSIS,10
RANREC,3
RIBAME,2
>,
QUAD,17
ACRONYM,   COVER
ALLCAN,5
ALLCER,10
CXBLAN,1
EUPPUR,8
FRAVIR,2
GEUCAN,4
NAPDIO,1
OXAVIO,1
PENDIG,2
SMIECI,4
SOLULM,2
VERFAS,8
VERVIR,1
VIOSOR,2
>,
QUAD,18
ACRONYM,   COVER
ALLCER,10
ARIDRA,2
CXNORM,15
CORRAC,40
FRAPES,2
GALOBT,2
GLYSTR,5
IMPCAP,5
JUNDUD,10
LYCAME,2
PHLGLI,4
RANSEP,5
RHACAT,5
ROSBLA,5
SENPAU,10
SILINI,10
SOLGRN,15
SPAPEC,8
ZIZAUR,8
>,
QUAD,19
ACRONYM,   COVER
CIRARV,2
EUPPUR,4
FRAVIR,5
HACVIR,4
LIASPI,5
PANIMP,5
POPDEL,30
RATPIN,3
ROBPSE,2
RUDHIR,10
RUDTRI,5
SISANG,2
SOLALT,20
SOLJUN,5
SORNUT,40
THADAD,4
TRAOHI,30
>,
QUAD,20
ACRONYM,   COVER
ALLCAN,2
ARITRI,10
BIDFRO,2
BROPUB,4
CXGRAN,4
CINARU,5
CIRLUC,5
EUPPUR,8
GEUCAN,8
OXAEUR,5
RHACAT,1
SMIECI,1
SOLALT,30
SOLULM,5
POLGVI,1
>,
QUAD,21
ACRONYM,   COVER
ALLCAN,5
ASTSHO,4
BROPUB,2
CIRLUC,4
HACVIR,1
OXAEUR,2
SMILAS,1
SOLDUL,3
SOLULM,15
TAEINT,1
ULMAME,2
ZIZAUR,5
>,
QUAD,22
ACRONYM,   COVER
ALLCAN,5
ARITRI,5
ASTMAC,2
BIDFRO,2
CIRLUC,3
CIRARV,20
ERISTR,2
FESOBT,3
GEUCAN,5
HACVIR,5
OXAEUR,1
SMILAS,4
SOLALT,15
SOLGRN,8
SOLJUN,15
SOLULM,8
TAROFF,2
>,
QUAD,23
ACRONYM,   COVER
ARITRI,1
FRAVIR,5
GEUCAN,2
HELHIR,4
HYSPAT,2
JUNTEN,2
QUECOC,2
RUDSUB,15
SMILAS,3
SOLALT,80
SOLULM,25
TAEINT,3
TAROFF,2
THADAD,1
VITRIP,10
ZIZAUR,3
>,
QUAD,24
ACRONYM,   COVER
ANEVIR,3
CXBLAN,2
FRAVIR,2
GENFLA,2
NEPCAT,4
RHACAT,30
RUDHIR,2
SMISTE,1
SMIECI,2
SOLALT,50
SOLGRN,5
THADAD,2
ZIZAUR,2
>,
QUAD,25
ACRONYM,   COVER
ALLPET,8
CIRLUC,5
GEUCAN,2
HACVIR,2
SMISTE,2
TAROFF,1
THADAD,3
ZIZAUR,2
>,
QUAD,26
ACRONYM,   COVER
LONTAT,5
PRUSER,5
RHACAT,1
SMISTE,1
